	1	3	17	22	39	54	56	5	11	29	40	24	36	13	38	19	2	6	9	10	14	18	28	20	31	25	43	23	37	33	4	7	15	21	32	8	16	26	34	12	max_id	max_norm	cohort
C18OV001	True	True	True	False																																					20	0.25907826	OV
X09BR001	True	True	True	False																																					13	0.32047358	BRCA
X11BR025	True	True	True	False																																					13	0.27032202	BRCA
X01BR025	True	True	True	False																																					13	0.23200808	BRCA
X14BR005	True	True	True	False																																					13	0.3410001	BRCA
C02OV008	True	True	True	False																																					13	0.22712755	OV
C02OV022	True	True	True	False																																					13	0.21256888	OV
C17OV002	True	True	True	False																																					23	0.21725033	OV
X11BR009	True	True	True	False																																					13	0.27288157	BRCA
X11BR019	True	True	True	False																																					13	0.3390733	BRCA
C02OV023	True	True	True	False																																					13	0.2401531	OV
X11BR053	True	True	True	False																																					13	0.27315018	BRCA
X01BR032	True	True	True	False																																					13	0.32642847	BRCA
X11BR012	True	True	True	False																																					13	0.32166633	BRCA
C01OV030	True	True	True	False																																					13	0.259904	OV
X06BR014	True	True	True	False																																					13	0.37129945	BRCA
X11BR027	True	True	True	False																																					13	0.35778195	BRCA
X05BR016	True	True	True	False																																					13	0.3690377	BRCA
X13BR009	True	True	True	False																																					13	0.28491393	BRCA
X03BR010	True	True	True	False																																					13	0.439563	BRCA
X06BR005	True	True	True	False																																					13	0.33315787	BRCA
C09CO011	True	True	True	True	True																																				8	0.2758607	COAD
C05CO029	True	True	True	True	True																																				8	0.27717516	COAD
C20CO007	True	True	True	True	True																																				8	0.23922111	COAD
C09CO006	True	True	True	True	True																																				8	0.21443568	COAD
C22CO004	True	True	True	True	True																																				8	0.31937212	COAD
C01CO008	True	True	True	True	True																																				8	0.32906908	COAD
C01CO013	True	True	True	True	True																																				8	0.2975629	COAD
C05CO028	True	True	True	True	True																																				8	0.37030166	COAD
C05CO054	True	True	True	True	True																																				8	0.41032386	COAD
C17OV025	True	True	True	True	True																																				8	0.19058454	OV
C17OV033	True	True	True	True	True																																				8	0.24399062	OV
C01CO022	True	True	True	True	True																																				12	0.15038067	COAD
C3L.00605.T	True	True	True	True	True																																				8	0.27787012	UCEC
C09CO018	True	True	True	True	True																																				8	0.21807756	COAD
C14CO003	True	True	True	True	True																																				8	0.26879984	COAD
C09CO013	True	True	True	True	True																																				28	0.17435637	COAD
C05CO026	True	True	True	True	True																																				28	0.18527333	COAD
C05CO050	True	True	True	True	True																																				28	0.19282566	COAD
C01CO014	True	True	True	True	True																																				8	0.26872402	COAD
C05CO053	True	True	True	True	True																																				8	0.2469412	COAD
C15CO002	True	True	True	True	True																																				8	0.26485926	COAD
C01CO005	True	True	True	True	True																																				8	0.24799995	COAD
C05CO039	True	True	True	True	True																																				8	0.24987337	COAD
C09CO022	True	True	True	True	True																																				8	0.26999488	COAD
C05CO035	True	True	True	True	False	True																																			13	0.12940745	COAD
C21CO007	True	True	True	True	False	True																																			20	0.124295995	COAD
C11CO020	True	True	True	True	False	True																																			13	0.13877045	COAD
C15CO001	True	True	True	True	False	True																																			13	0.1324431	COAD
C04OV054	True	True	True	True	False	True																																			8	0.19416277	OV
C02OV044	True	True	True	True	False	True																																			8	0.21097319	OV
C04OV050	True	True	True	True	False	True																																			8	0.22385702	OV
C02OV041	True	True	True	True	False	True																																			8	0.1911879	OV
C02OV046	True	True	True	True	False	True																																			8	0.19840547	OV
C20CO004	True	True	True	True	False	True																																			8	0.19930966	COAD
C17OV017	True	True	True	True	False	True																																			13	0.21763417	OV
C17OV029	True	True	True	True	False	True																																			8	0.18855695	OV
C02OV036	True	True	True	True	False	True																																			8	0.19751488	OV
C04OV024	True	True	True	True	False	True																																			8	0.18597507	OV
C17OV028	True	True	True	True	False	True																																			8	0.2147811	OV
C01OV017	True	True	True	True	False	True																																			13	0.08798008	OV
C02OV015	True	True	True	True	False	True																																			13	0.15108964	OV
C01OV039	True	True	True	True	False	True																																			8	0.14124759	OV
C02OV029	True	True	True	True	False	True																																			13	0.14143115	OV
C3L.01744.T	True	True	True	True	False	False																																			8	0.21071658	UCEC
C3N.02693	True	True	True	True	False	False																																			8	0.1814188	HNSCC
C3N.00858.T	True	True	True	True	False	False																																			8	0.15096733	UCEC
C3L.01311.T	True	True	True	True	False	False																																			8	0.16257384	UCEC
C3L.00586.T	True	True	True	True	False	False																																			8	0.19479828	UCEC
C3L.01257.T	True	True	True	True	False	False																																			8	0.20997798	UCEC
C3N.00880.T	True	True	True	True	False	False																																			8	0.2321794	UCEC
C3N.01943	True	True	True	True	False	False																																			8	0.3376494	HNSCC
C3L.00090.T	True	True	True	True	False	False																																			8	0.2278411	UCEC
C3N.00832	True	True	True	True	False	False																																			8	0.23854749	CCRCC
C3L.00563.T	True	True	True	True	False	False																																			16	0.1634017	UCEC
C3L.00767.T	True	True	True	True	False	False																																			8	0.227112	UCEC
C3L.00361.T	True	True	True	True	False	False																																			8	0.12212245	UCEC
C3N.00866.T	True	True	True	True	False	False																																			8	0.19111189	UCEC
X11BR043	True	True	True	True	False	False																																			7	0.24235053	BRCA
C04OV004	True	True	True	True	False	False																																			7	0.13764894	OV
X11BR044	True	True	True	True	False	False																																			13	0.1669736	BRCA
X21BR001	True	True	True	True	False	False																																			7	0.20513256	BRCA
C05CO045	True	True	True	True	False	False																																			7	0.13616996	COAD
C04OV057	True	True	True	True	False	False																																			12	0.12503205	OV
C02OV006	True	True	True	True	False	False																																			33	0.11177632	OV
C04OV044	True	True	True	True	False	False																																			7	0.121987276	OV
C3N.00317	True	True	True	True	False	False																																			8	0.16854317	CCRCC
C3N.03875	True	True	True	True	False	False																																			8	0.18458447	LSCC
C3N.01337	True	True	True	True	False	False																																			12	0.2442834	HNSCC
C3N.01757	True	True	True	True	False	False																																			23	0.15836124	HNSCC
C3N.03433	True	True	True	True	False	False																																			12	0.15612124	HNSCC
C3N.03849	True	True	True	True	False	False																																			12	0.26174217	HNSCC
C26OV013	True	True	True	True	False	False																																			13	0.12920702	OV
C3L.00362.T	True	True	True	True	False	False																																			8	0.13781421	UCEC
C3N.00326.T	True	True	True	True	False	False																																			23	0.20485687	UCEC
C3N.00850.T	True	True	True	True	False	False																																			8	0.16024442	UCEC
C3N.03190.T	True	True	True	True	False	False																																			8	0.15109152	PDAC
C3L.00369	True	True	True	True	False	False																																			20	0.16812834	CCRCC
C3L.00791	True	True	True	True	False	False																																			8	0.22386472	CCRCC
C3N.03012	True	False						False						True	True																										29	0.4017199	HNSCC
C3N.03072	True	False						False						True	True																										29	0.39033312	LSCC
C3L.01237	True	False						False						True	True																										29	0.24662614	HNSCC
C3L.02168	True	False						False						True	True																										29	0.3200331	LSCC
C3N.03662	True	False						False						True	True																										29	0.35040554	LSCC
C3L.00081	True	False						False						True	True																										29	0.30336207	LSCC
C3N.03456	True	False						False						True	True																										29	0.23807368	HNSCC
C3N.03009	True	False						False						True	True																										29	0.36313713	HNSCC
C3N.03490	True	False						False						True	True																										29	0.30715585	HNSCC
C3L.00965	True	False						False						True	True																										20	0.20769054	LSCC
C3L.01285	True	False						False						True	True																										29	0.28658625	LSCC
C3L.00997	True	False						False						True	True																										29	0.1780407	HNSCC
C3N.01411	True	False						False						True	True																										29	0.2799727	LSCC
C3L.03965	True	False						False						True	True																										29	0.23947977	LSCC
C3L.00445	True	False						False						True	True																										29	0.2817757	LSCC
C3L.03962	True	False						False						True	True																										29	0.22083752	LSCC
C3L.00987	True	False						False						True	True																										29	0.374226	HNSCC
C3L.03378	True	False						False						True	True																										29	0.3396742	HNSCC
C3N.02434	True	False						False						True	True																										29	0.35476235	LSCC
C3L.02163	True	False						False						True	True																										29	0.47573945	LSCC
C3N.00498	True	False						False						True	True																										29	0.4108067	HNSCC
C3N.01017	True	False						False						True	True																										29	0.39136133	LSCC
C3N.00221	True	False						False						True	True																										29	0.4324327	LSCC
C3N.04155	True	False						False						True	True																										29	0.42800492	LSCC
C3N.02575	True	False						False						True	True																										29	0.38992715	LSCC
C3N.03877	True	False						False						True	True																										29	0.35482746	LSCC
C3N.04278	True	False						False						True	False																										29	0.31197977	HNSCC
C3N.01859	True	False						False						True	False																										29	0.21668127	HNSCC
C3N.03880	True	False						False						True	False																										7	0.2302956	LSCC
C3N.03027	True	False						False						True	False																										7	0.13827057	HNSCC
C3L.03272	True	False						False						True	False																										29	0.205266	LSCC
C3N.02494	True	False						False						True	False																										7	0.22111657	LSCC
C3N.01846	True	False						False						True	False																										24	0.15720566	LSCC
C3N.01892	True	False						False						True	False																										24	0.17358555	LSCC
C3N.04124	True	False						False						True	False																										29	0.19522354	LSCC
C3L.04014	True	False						False						True	False																										29	0.18833765	LSCC
C3L.02349	True	False						False						True	False																										29	0.26342687	LSCC
C3N.02252	True	False						False						True	False																										29	0.304926	LSCC
C3N.01339	True	False						False						True	False																										29	0.262203	HNSCC
C3N.02375	True	False						False						True	False																										29	0.30349222	LSCC
C3N.03882	True	False						False						True	False																										29	0.21762791	LSCC
C3N.03782	True	False						False						True	False																										29	0.21257225	HNSCC
C3N.04152	True	False						False						True	False																										29	0.25385585	HNSCC
C3N.01025	True	False						False						True	False																										29	0.3241049	LSCC
C3N.04162	True	False						False						True	False																										29	0.30401757	LSCC
C3L.02127	True	False						False						True	False																										29	0.2989979	LSCC
C3N.02374	True	False						False						True	False																										12	0.30209056	LSCC
C3N.02425	True	False						False						True	False																										12	0.27664268	LSCC
C3L.00413.T	True	False						False						True	False																										12	0.18933012	UCEC
C3N.03664	True	False						False						True	False																										12	0.22946674	HNSCC
C3N.02288	True	False						False						True	False																										29	0.26562795	LSCC
C3L.02365	True	False						False						True	False																										12	0.20720841	LUAD
C3L.02646	True	False						False						True	False																										29	0.24686271	LSCC
C3N.03204	True	False						False						True	False																										29	0.24996479	LSCC
X11BR036	True	False						False						False		False																									1	0.21227881	BRCA
X20BR006	True	False						False						False		False																									1	0.33496946	BRCA
X11BR080	True	False						False						False		False																									1	0.36613515	BRCA
X11BR016	True	False						False						False		False																									1	0.46938846	BRCA
X11BR023	True	False						False						False		False																									1	0.45452663	BRCA
X11BR024	True	False						False						False		False																									1	0.41006353	BRCA
X20BR005	True	False						False						False		False																									1	0.37302458	BRCA
X20BR007	True	False						False						False		False																									1	0.37988797	BRCA
X01BR009	True	False						False						False		False																									1	0.45223084	BRCA
X01BR031	True	False						False						False		False																									1	0.44496685	BRCA
X01BR017	True	False						False						False		False																									1	0.24139322	BRCA
X01BR001	True	False						False						False		False																									1	0.35823768	BRCA
X01BR018	True	False						False						False		False																									1	0.37717864	BRCA
CPT001846	True	False						False						False		False																									1	0.25038514	BRCA
X20BR002	True	False						False						False		False																									1	0.3111072	BRCA
X01BR040	True	False						False						False		False																									1	0.38041183	BRCA
X01BR043	True	False						False						False		False																									1	0.32644013	BRCA
X01BR027	True	False						False						False		False																									1	0.5179314	BRCA
X01BR042	True	False						False						False		False																									1	0.46841606	BRCA
CPT000814	True	False						False						False		False																									1	0.42996264	BRCA
X05BR042	True	False						False						False		False																									1	0.45818248	BRCA
X05BR029	True	False						False						False		False																									1	0.3927285	BRCA
X05BR045	True	False						False						False		False																									1	0.3839172	BRCA
X05BR043	True	False						False						False		False																									1	0.46496707	BRCA
X01BR020	True	False						False						False		False																									1	0.4634845	BRCA
X03BR006	True	False						False						False		False																									1	0.47892743	BRCA
C3L.04013	True	False						False						False		True																									27	0.37563935	LSCC
C3N.03011	True	False						False						False		True																									27	0.38761014	HNSCC
C3N.03851	True	False						False						False		True																									27	0.30781144	LSCC
C3L.01000	True	False						False						False		True																									27	0.32713002	LSCC
C3N.04276	True	False						False						False		True																									27	0.3550321	HNSCC
C3L.00603	True	False						False						False		True																									27	0.38524404	LSCC
C3N.02283	True	False						False						False		True																									27	0.33836266	LSCC
C3N.03886	True	False						False						False		True																									27	0.44010693	LSCC
C3N.00204	True	False						False						False		True																									27	0.33046132	HNSCC
C3N.03785	True	False						False						False		True																									27	0.28110543	HNSCC
C3L.02617	True	False						False						False		True																									27	0.3190018	HNSCC
C3N.01755	True	False						False						False		True																									27	0.38641474	HNSCC
C3N.02713	True	False						False						False		True																									27	0.28865835	HNSCC
C3L.02649	True	False						False						False		True																									27	0.3133978	LSCC
C3N.01756	True	False						False						False		True																									27	0.3446275	HNSCC
C3N.04273	True	False						False						False		True																									27	0.2860327	HNSCC
C3N.01023	True	False						False						False		True																									11	0.33649966	LUAD
C3N.02149	True	False						False						False		True																									11	0.3208333	LUAD
C3N.01414	True	False						False						False		True																									11	0.28844678	LUAD
C3N.01410	True	False						False						False		True																									11	0.43213165	LUAD
C3N.00547	True	False						False						False		True																									11	0.37507996	LUAD
C3N.01016	True	False						False						False		True																									11	0.35534516	LUAD
C3N.02089	True	False						False						False		True																									11	0.30646288	LUAD
C3N.02155	True	False						False						False		True																									11	0.22600062	LUAD
C3N.00180	True	False						False						False		True																									11	0.36669973	LUAD
C3N.00549	True	False						False						False		True																									11	0.3203361	LUAD
C3N.01074	True	False						False						False		True																									11	0.3821188	LUAD
C3L.00094	True	False						False						False		True																									11	0.3782392	LUAD
C3N.00560	True	False						False						False		True																									11	0.36436173	LUAD
C3L.01862	True	False						False						False		True																									11	0.3596747	LUAD
C3N.00737	True	False						False						False		True																									11	0.31648618	LUAD
C3N.01071	True	False						False						False		True																									11	0.3054912	LUAD
C3N.01823	True	False						False						False		True																									11	0.3250943	LUAD
C3N.02944.T	True	False						True	True	True																															3	0.25122958	PDAC
C3N.03093	True	False						True	True	True																															7	0.18977503	LSCC
C3L.02964	True	False						True	True	True																															3	0.17310692	LSCC
C3L.02651	True	False						True	True	True																															7	0.19356579	HNSCC
C3N.03487	True	False						True	True	True																															7	0.16604666	HNSCC
C3N.00957.T	True	False						True	True	True																															7	0.21614832	PDAC
C3N.01714.T	True	False						True	True	True																															7	0.14809027	PDAC
C3N.03783	True	False						True	True	True																															7	0.16706046	HNSCC
C3N.00340.T	True	False						True	True	True																															3	0.17877895	UCEC
C3N.00836.T	True	False						True	True	True																															7	0.32963282	UCEC
X01BR030	True	False						True	True	True																															7	0.276009	BRCA
C3N.00303.T	True	False						True	True	True																															7	0.33635888	PDAC
C3N.00328.T	True	False						True	True	True																															7	0.36437017	UCEC
C3L.00095	True	False						True	True	True																															7	0.23443457	LUAD
C01OV026	True	False						True	True	True																															7	0.21133901	OV
C04OV027	True	False						True	True	True																															7	0.20889269	OV
C3N.01946	True	False						True	True	True																															7	0.3386472	HNSCC
C3L.03961	True	False						True	True	True																															7	0.29884607	LSCC
C3N.00247	True	False						True	True	True																															7	0.3929905	LSCC
C17OV040	True	False						True	True	True																															7	0.26170728	OV
C3L.04473.T	True	False						True	True	True																															7	0.2494473	PDAC
C3N.03428.T	True	False						True	True	True																															7	0.40108716	PDAC
C3N.00497	True	False						True	True	True																															7	0.38225046	LSCC
C3N.03612	True	False						True	True	True																															7	0.36054847	HNSCC
C3N.01948	True	False						True	True	True																															7	0.26711765	HNSCC
C3N.02730	True	False						True	True	True																															7	0.31330544	HNSCC
C3N.01648	True	False						True	True	True																															7	0.4290648	CCRCC
C3L.01683	True	False						True	True	True																															7	0.43452546	LUAD
C3N.00433	True	False						True	True	True																															7	0.43820682	LUAD
C3L.00140	True	False						True	True	False	True																														23	0.2163055	LUAD
C3L.00032.T	True	False						True	True	False	True																														23	0.28129697	UCEC
C3L.00415	True	False						True	True	False	True																														23	0.2117131	LSCC
C3L.00918.T	True	False						True	True	False	True																														23	0.26584557	UCEC
C3L.00156.T	True	False						True	True	False	True																														23	0.21401954	UCEC
C3L.02627	True	False						True	True	False	True																														23	0.19300802	LSCC
C3N.03051	True	False						True	True	False	True																														23	0.16991465	LSCC
X06BR003	True	False						True	True	False	True																														26	0.19146073	BRCA
X11BR017	True	False						True	True	False	True																														26	0.19714792	BRCA
C04OV063	True	False						True	True	False	True																														26	0.12640966	OV
C04OV051	True	False						True	True	False	True																														12	0.13480769	OV
X11BR020	True	False						True	True	False	True																														7	0.14911294	BRCA
C02OV032	True	False						True	True	False	True																														23	0.116549596	OV
C17OV001	True	False						True	True	False	True																														16	0.12706193	OV
C04OV036	True	False						True	True	False	True																														7	0.11718174	OV
C04OV048	True	False						True	True	False	True																														8	0.20600958	OV
C17OV030	True	False						True	True	False	True																														7	0.16373171	OV
C3L.04354	True	False						True	True	False	False																														3	0.28634614	HNSCC
C3N.03841	True	False						True	True	False	False																														3	0.25548026	HNSCC
C3N.01020	True	False						True	True	False	False																														27	0.17998625	LSCC
C3L.03963	True	False						True	True	False	False																														7	0.26283824	LSCC
C3N.03486	True	False						True	True	False	False																														27	0.22220834	LSCC
C04OV053	True	False						True	True	False	False																														1	0.13530304	OV
C3L.00358.T	True	False						True	True	False	False																														1	0.20844853	UCEC
C3L.00144	True	False						True	True	False	False																														7	0.17239544	LUAD
C3N.01858	True	False						True	True	False	False																														27	0.19179827	HNSCC
C3L.03388.T	True	False						True	True	False	False																														3	0.1616412	PDAC
X09BR004	True	False						True	True	False	False																														1	0.16436514	BRCA
X05BR001	True	False						True	True	False	False																														7	0.2870333	BRCA
C17OV010	True	False						True	True	False	False																														7	0.32727358	OV
X01BR008	True	False						True	True	False	False																														1	0.3874917	BRCA
X11BR003	True	False						True	True	False	False																														7	0.26165095	BRCA
C3N.01028	True	False						True	True	False	False																														7	0.19177257	LSCC
C3N.01219.T	True	False						True	True	False	False																														7	0.23878698	UCEC
C3L.02969	True	False						True	True	False	False																														7	0.38621733	LSCC
C3N.01537.T	True	False						True	True	False	False																														7	0.339573	UCEC
X11BR011	True	False						True	True	False	False																														7	0.25336385	BRCA
X11BR030	True	False						True	True	False	False																														7	0.36411127	BRCA
X11BR073	True	False						True	True	False	False																														7	0.29956198	BRCA
X18BR003	True	False						True	True	False	False																														7	0.26488686	BRCA
C3L.00908	True	False						True	True	False	False																														7	0.18166415	CCRCC
C3N.01178	True	False						True	True	False	False																														7	0.2836416	CCRCC
C3L.04071	True	False						True	True	False	False																														7	0.24304287	LSCC
C3L.02891	True	False						True	True	False	False																														7	0.20037428	LSCC
C3L.00143.T	True	False						True	True	False	False																														7	0.24520469	UCEC
C3N.01194	True	False						True	True	False	False																														7	0.26429045	LSCC
C3L.00607	True	False						True	True	False	False																														8	0.22146755	CCRCC
C3L.00004	True	False						True	True	False	False																														8	0.16665316	CCRCC
C3L.00416	True	False						True	True	False	False																														7	0.21981767	CCRCC
C3N.02333	True	False						True	True	False	False																														7	0.20851833	HNSCC
C3N.04275	True	False						True	True	False	False																														23	0.18797216	HNSCC
C3L.02625	True	False						True	True	False	False																														7	0.2576206	LSCC
C3N.00389.T	True	False						True	True	False	False																														7	0.17455888	UCEC
C3L.01275.T	True	False						True	False			False																													30	0.14397901	UCEC
MB281_GR4	True	False						True	False			False																													28	0.18504003	MEDUL
C3N.01620	True	False						True	False			False																													12	0.19742712	HNSCC
C3N.03042	True	False						True	False			False																													12	0.20185877	HNSCC
C3N.00574	True	False						True	False			False																													11	0.2174155	LUAD
C3N.00577	True	False						True	False			False																													11	0.16371988	CCRCC
C3N.00169	True	False						True	False			False																													6	0.21244155	LUAD
C3N.00435	True	False						True	False			False																													6	0.14731975	CCRCC
C11CO054	True	False						True	False			False																													3	0.19568975	COAD
C3N.00822	True	False						True	False			False																													3	0.21210015	HNSCC
C3N.00734.T	True	False						True	False			False																													23	0.24250433	UCEC
C3L.00770.T	True	False						True	False			False																													3	0.17771873	UCEC
C3L.02619	True	False						True	False			False																													30	0.20494254	LSCC
C3L.00963.T	True	False						True	False			False																													3	0.20645635	UCEC
C3N.01338	True	False						True	False			False																													3	0.35856146	HNSCC
C3N.03754.T	True	False						True	False			False																													3	0.32091472	PDAC
C3N.02279	True	False						True	False			False																													3	0.37792695	HNSCC
C3N.03884.T	True	False						True	False			False																													3	0.33060548	PDAC
C3N.02275	True	False						True	False			False																													3	0.26671493	HNSCC
C3N.03426.T	True	False						True	False			False																													3	0.27690765	PDAC
C3N.03619	True	False						True	False			False																													3	0.3032371	HNSCC
C3N.02925	True	False						True	False			False																													3	0.41906685	HNSCC
C3N.00729.T	True	False						True	False			False																													3	0.32999825	UCEC
C3N.01645	True	False						True	False			False																													3	0.40599304	HNSCC
C3L.00977	True	False						True	False			False																													12	0.21919298	HNSCC
C3L.04844	True	False						True	False			False																													3	0.22820346	HNSCC
C3N.01212.T	True	False						True	False			False																													12	0.22073801	UCEC
C3N.00151.T	True	False						True	False			False																													12	0.15485612	UCEC
C3N.02700	True	False						True	False			False																													12	0.21386796	HNSCC
C3N.03015	True	False						True	False			False																													3	0.21777366	HNSCC
C3L.01124.T	True	False						True	False			False																													3	0.18198831	PDAC
C3L.03628.T	True	False						True	False			False																													3	0.19831878	PDAC
C3L.00819.T	True	False						True	False			False																													3	0.22419156	PDAC
C3L.00946.T	True	False						True	False			False																													3	0.26181155	UCEC
C3N.03039.T	True	False						True	False			False																													3	0.21034086	PDAC
C3L.04027.T	True	False						True	False			False																													3	0.26509207	PDAC
C3N.03061.T	True	False						True	False			False																													3	0.21005373	PDAC
C3L.01884	True	False						True	False			True	False																												6	0.18235104	LSCC
C3N.04279	True	False						True	False			True	False																												12	0.23142159	HNSCC
C3L.00905.T	True	False						True	False			True	False																												6	0.1693035	UCEC
C3N.00555	True	False						True	False			True	False																												6	0.22870588	LSCC
C3L.01286	True	False						True	False			True	False																												6	0.16146654	CCRCC
C3N.00552	True	False						True	False			True	False																												6	0.19416797	LUAD
C3N.01520.T	True	False						True	False			True	False																												8	0.29690605	UCEC
C3N.01521.T	True	False						True	False			True	False																												6	0.15285544	UCEC
C3L.00161.T	True	False						True	False			True	False																												12	0.24103262	UCEC
C3N.01024	True	False						True	False			True	False																												12	0.19983777	LUAD
C3L.00947.T	True	False						True	False			True	False																												8	0.16491346	UCEC
C3N.01510.T	True	False						True	False			True	False																												8	0.15298136	UCEC
C3L.00927	True	False						True	False			True	False																												12	0.3380264	LSCC
C3N.00580	True	False						True	False			True	False																												12	0.30630183	LUAD
C3L.01138	True	False						True	False			True	False																												12	0.2428799	HNSCC
C3L.04849	True	False						True	False			True	False																												12	0.3145582	HNSCC
C3N.02695	True	False						True	False			True	False																												12	0.28814802	HNSCC
C3N.04280	True	False						True	False			True	False																												12	0.28402445	HNSCC
C3N.00294	True	False						True	False			True	False																												12	0.4103549	LUAD
C3L.02613.T	True	False						True	False			True	False																												12	0.40216985	PDAC
C3L.03639.T	True	False						True	False			True	False																												12	0.39593256	PDAC
C3L.04072.T	True	False						True	False			True	False																												12	0.32238403	PDAC
C3N.03425	True	False						True	False			True	False																												12	0.2905223	LSCC
C3N.03045	True	False						True	False			True	False																												12	0.33729196	HNSCC
C3N.03458	True	False						True	False			True	False																												12	0.34050372	HNSCC
C3L.01287	True	False						True	False			True	True																												12	0.17595403	CCRCC
C3N.01200	True	False						True	False			True	True																												25	0.14289953	CCRCC
C3N.01646	True	False						True	False			True	True																												11	0.1714289	CCRCC
C3L.00096	True	False						True	False			True	True																												12	0.14753766	CCRCC
C3L.01313	True	False						True	False			True	True																												25	0.17071468	CCRCC
C3L.00561	True	False						True	False			True	True																												25	0.1849105	CCRCC
C3N.03182	True	False						True	False			True	True																												25	0.29051432	GBM
C3N.01366	True	False						True	False			True	True																												25	0.186389	GBM
C3L.00011	True	False						True	False			True	True																												12	0.21776102	CCRCC
C3N.01415	True	False						True	False			True	True																												12	0.19789836	LUAD
C3N.01405	True	False						True	False			True	True																												12	0.18753755	LUAD
C11OV002	True	False						True	False			True	True																												7	0.19181974	OV
C05CO041	True	False						True	False			True	True																												12	0.21649665	COAD
C3L.03123.T	True	False						True	False			True	True																												7	0.22479656	PDAC
C3N.02003	True	False						True	False			True	True																												12	0.27951142	LUAD
C3N.01715.T	True	False						True	False			True	True																												7	0.24689022	PDAC
C3N.02424	True	False						True	False			True	True																												12	0.3314724	LUAD
C3L.00098.T	True	False						True	False			True	True																												12	0.17230405	UCEC
C3N.00315	True	False						True	False			True	True																												7	0.2206777	CCRCC
C3N.02529	True	False						True	False			True	True																												12	0.22445549	LUAD
C3N.00154	True	False						True	False			True	True																												12	0.14065622	CCRCC
C3N.00437	True	False						True	False			True	True																												12	0.19960077	CCRCC
C3N.02379	True	False						True	False			True	True																												12	0.3739736	LUAD
C3N.00299	True	False						True	False			True	True																												12	0.27345088	HNSCC
C3N.03837	True	False						True	False			True	True																												12	0.32476786	HNSCC
