	fisher_odds_ratio	P.Value	frac_mut_MMRD	frac_mut_MMRP	num_mut_MMRD	num_mut_MMRP	num_WT_MMRD	num_WT_MMRP	adj.P.Val
MYO16	inf	5.217875975419863e-05	7 / 42	0 / 142	7.0	0.0	42.0	142.0	0.0017857018127761144
B2M	11.666666666666666	0.0012027985131153023	7 / 42	2 / 140	7.0	2.0	42.0	140.0	0.018477658047035744
CAMTA2	31.725	2.1406193862644062e-05	9 / 40	1 / 141	9.0	1.0	40.0	141.0	0.0010801534173172146
LRRC9	inf	5.217875975419863e-05	7 / 42	0 / 142	7.0	0.0	42.0	142.0	0.0017857018127761144
PCDHGA2	31.725	2.1406193862644062e-05	9 / 40	1 / 141	9.0	1.0	40.0	141.0	0.0010801534173172146
EFHC1	inf	1.191036907432923e-05	8 / 41	0 / 142	8.0	0.0	41.0	142.0	0.0006333567800833691
BICRA	inf	2.6684433445220216e-06	9 / 40	0 / 142	9.0	0.0	40.0	142.0	0.00023350568152760422
DENND4B	inf	2.6684433445220216e-06	9 / 40	0 / 142	9.0	0.0	40.0	142.0	0.00023350568152760422
FXR1	inf	1.191036907432923e-05	8 / 41	0 / 142	8.0	0.0	41.0	142.0	0.0006333567800833691
SLC3A2	31.725	2.1406193862644062e-05	9 / 40	1 / 141	9.0	1.0	40.0	141.0	0.0010801534173172146
CKLF-CMTM1	inf	2.6684433445220216e-06	9 / 40	0 / 142	9.0	0.0	40.0	142.0	0.00023350568152760422
ANK3	inf	1.191036907432923e-05	8 / 41	0 / 142	8.0	0.0	41.0	142.0	0.0006333567800833691
ANO10	inf	2.6684433445220216e-06	9 / 40	0 / 142	9.0	0.0	40.0	142.0	0.00023350568152760422
NSD1	inf	2.6684433445220216e-06	9 / 40	0 / 142	9.0	0.0	40.0	142.0	0.00023350568152760422
RGS12	23.5	0.0003340574945133293	7 / 42	1 / 141	7.0	1.0	42.0	141.0	0.007828269354476764
KCNMA1	inf	1.191036907432923e-05	8 / 41	0 / 142	8.0	0.0	41.0	142.0	0.0006333567800833691
RPS6KA1	inf	2.6684433445220216e-06	9 / 40	0 / 142	9.0	0.0	40.0	142.0	0.00023350568152760422
SZT2	inf	1.191036907432923e-05	8 / 41	0 / 142	8.0	0.0	41.0	142.0	0.0006333567800833691
RBM27	inf	2.6684433445220216e-06	9 / 40	0 / 142	9.0	0.0	40.0	142.0	0.00023350568152760422
IQCE	inf	2.6684433445220216e-06	9 / 40	0 / 142	9.0	0.0	40.0	142.0	0.00023350568152760422
SYCP2	inf	1.191036907432923e-05	8 / 41	0 / 142	8.0	0.0	41.0	142.0	0.0006333567800833691
ADAMTSL4	inf	1.191036907432923e-05	8 / 41	0 / 142	8.0	0.0	41.0	142.0	0.0006333567800833691
ENO4	inf	2.6684433445220216e-06	9 / 40	0 / 142	9.0	0.0	40.0	142.0	0.00023350568152760422
CHD9	inf	2.6684433445220216e-06	9 / 40	0 / 142	9.0	0.0	40.0	142.0	0.00023350568152760422
ARHGEF40	inf	2.6684433445220216e-06	9 / 40	0 / 142	9.0	0.0	40.0	142.0	0.00023350568152760422
HOXB3	inf	5.217875975419863e-05	7 / 42	0 / 142	7.0	0.0	42.0	142.0	0.0017857018127761144
TRDN	inf	1.191036907432923e-05	8 / 41	0 / 142	8.0	0.0	41.0	142.0	0.0006333567800833691
PPP1R12B	inf	1.191036907432923e-05	8 / 41	0 / 142	8.0	0.0	41.0	142.0	0.0006333567800833691
MEGF8	11.666666666666666	0.0012027985131153023	7 / 42	2 / 140	7.0	2.0	42.0	140.0	0.018477658047035744
XYLT2	inf	1.191036907432923e-05	8 / 41	0 / 142	8.0	0.0	41.0	142.0	0.0006333567800833691
CADPS	inf	1.191036907432923e-05	8 / 41	0 / 142	8.0	0.0	41.0	142.0	0.0006333567800833691
MEGF6	inf	0.0002244900128960173	6 / 43	0 / 142	6.0	0.0	43.0	142.0	0.00533298783213116
DDX59	inf	1.191036907432923e-05	8 / 41	0 / 142	8.0	0.0	41.0	142.0	0.0006333567800833691
SEC63	inf	5.217875975419863e-05	7 / 42	0 / 142	7.0	0.0	42.0	142.0	0.0017857018127761144
ELOA	inf	5.217875975419863e-05	7 / 42	0 / 142	7.0	0.0	42.0	142.0	0.0017857018127761144
TRIO	inf	5.217875975419863e-05	7 / 42	0 / 142	7.0	0.0	42.0	142.0	0.0017857018127761144
MIS18BP1	inf	5.217875975419863e-05	7 / 42	0 / 142	7.0	0.0	42.0	142.0	0.0017857018127761144
ZNF609	inf	5.217875975419863e-05	7 / 42	0 / 142	7.0	0.0	42.0	142.0	0.0017857018127761144
PLXNB1	inf	1.191036907432923e-05	8 / 41	0 / 142	8.0	0.0	41.0	142.0	0.0006333567800833691
TCF20	inf	1.191036907432923e-05	8 / 41	0 / 142	8.0	0.0	41.0	142.0	0.0006333567800833691
ZMYM2	inf	1.191036907432923e-05	8 / 41	0 / 142	8.0	0.0	41.0	142.0	0.0006333567800833691
PHF20L1	inf	0.0002244900128960173	6 / 43	0 / 142	6.0	0.0	43.0	142.0	0.00533298783213116
WNK4	inf	0.0002244900128960173	6 / 43	0 / 142	6.0	0.0	43.0	142.0	0.00533298783213116
FMR1	inf	5.217875975419863e-05	7 / 42	0 / 142	7.0	0.0	42.0	142.0	0.0017857018127761144
MDN1	inf	5.217875975419863e-05	7 / 42	0 / 142	7.0	0.0	42.0	142.0	0.0017857018127761144
TTC3	inf	5.217875975419863e-05	7 / 42	0 / 142	7.0	0.0	42.0	142.0	0.0017857018127761144
RPL5	inf	1.191036907432923e-05	8 / 41	0 / 142	8.0	0.0	41.0	142.0	0.0006333567800833691
AMER3	inf	5.217875975419863e-05	7 / 42	0 / 142	7.0	0.0	42.0	142.0	0.0017857018127761144
ASH1L	inf	5.217875975419863e-05	7 / 42	0 / 142	7.0	0.0	42.0	142.0	0.0017857018127761144
SLTM	inf	1.191036907432923e-05	8 / 41	0 / 142	8.0	0.0	41.0	142.0	0.0006333567800833691
BRWD1	inf	1.191036907432923e-05	8 / 41	0 / 142	8.0	0.0	41.0	142.0	0.0006333567800833691
JPH4	inf	1.191036907432923e-05	8 / 41	0 / 142	8.0	0.0	41.0	142.0	0.0006333567800833691
PIGO	inf	1.191036907432923e-05	8 / 41	0 / 142	8.0	0.0	41.0	142.0	0.0006333567800833691
ANKRD11	inf	1.191036907432923e-05	8 / 41	0 / 142	8.0	0.0	41.0	142.0	0.0006333567800833691
NFASC	inf	5.217875975419863e-05	7 / 42	0 / 142	7.0	0.0	42.0	142.0	0.0017857018127761144
DIDO1	inf	1.191036907432923e-05	8 / 41	0 / 142	8.0	0.0	41.0	142.0	0.0006333567800833691
AC107023.1	27.51219512195122	8.584577491279387e-05	8 / 41	1 / 141	8.0	1.0	41.0	141.0	0.002894887034010459
TACC2	inf	1.191036907432923e-05	8 / 41	0 / 142	8.0	0.0	41.0	142.0	0.0006333567800833691
PHF3	27.51219512195122	8.584577491279387e-05	8 / 41	1 / 141	8.0	1.0	41.0	141.0	0.002894887034010459
STARD9	inf	1.191036907432923e-05	8 / 41	0 / 142	8.0	0.0	41.0	142.0	0.0006333567800833691
CWF19L2	inf	1.191036907432923e-05	8 / 41	0 / 142	8.0	0.0	41.0	142.0	0.0006333567800833691
FOXP2	inf	5.217875975419863e-05	7 / 42	0 / 142	7.0	0.0	42.0	142.0	0.0017857018127761144
SPANXB1	inf	1.191036907432923e-05	8 / 41	0 / 142	8.0	0.0	41.0	142.0	0.0006333567800833691
UBR5	27.51219512195122	8.584577491279387e-05	8 / 41	1 / 141	8.0	1.0	41.0	141.0	0.002894887034010459
CELSR1	inf	1.191036907432923e-05	8 / 41	0 / 142	8.0	0.0	41.0	142.0	0.0006333567800833691
F8	19.674418604651162	0.001258357531746604	6 / 43	1 / 141	6.0	1.0	43.0	141.0	0.01891092525427016
SACS	inf	1.191036907432923e-05	8 / 41	0 / 142	8.0	0.0	41.0	142.0	0.0006333567800833691
OARD1	inf	1.191036907432923e-05	8 / 41	0 / 142	8.0	0.0	41.0	142.0	0.0006333567800833691
ZC3H13	inf	1.191036907432923e-05	8 / 41	0 / 142	8.0	0.0	41.0	142.0	0.0006333567800833691
TNK2	inf	1.191036907432923e-05	8 / 41	0 / 142	8.0	0.0	41.0	142.0	0.0006333567800833691
FAT2	inf	5.217875975419863e-05	7 / 42	0 / 142	7.0	0.0	42.0	142.0	0.0017857018127761144
IGF2R	inf	1.191036907432923e-05	8 / 41	0 / 142	8.0	0.0	41.0	142.0	0.0006333567800833691
SRCAP	inf	1.191036907432923e-05	8 / 41	0 / 142	8.0	0.0	41.0	142.0	0.0006333567800833691
SLC35G2	inf	1.191036907432923e-05	8 / 41	0 / 142	8.0	0.0	41.0	142.0	0.0006333567800833691
BAX	inf	1.191036907432923e-05	8 / 41	0 / 142	8.0	0.0	41.0	142.0	0.0006333567800833691
NDE1	inf	1.191036907432923e-05	8 / 41	0 / 142	8.0	0.0	41.0	142.0	0.0006333567800833691
HELZ2	inf	5.217875975419863e-05	7 / 42	0 / 142	7.0	0.0	42.0	142.0	0.0017857018127761144
TMEM60	inf	1.191036907432923e-05	8 / 41	0 / 142	8.0	0.0	41.0	142.0	0.0006333567800833691
ZNF106	inf	5.217875975419863e-05	7 / 42	0 / 142	7.0	0.0	42.0	142.0	0.0017857018127761144
NCOR2	inf	1.191036907432923e-05	8 / 41	0 / 142	8.0	0.0	41.0	142.0	0.0006333567800833691
PKN2	inf	5.217875975419863e-05	7 / 42	0 / 142	7.0	0.0	42.0	142.0	0.0017857018127761144
SRCIN1	inf	5.217875975419863e-05	7 / 42	0 / 142	7.0	0.0	42.0	142.0	0.0017857018127761144
PTPRS	inf	5.217875975419863e-05	7 / 42	0 / 142	7.0	0.0	42.0	142.0	0.0017857018127761144
KAT2B	inf	1.191036907432923e-05	8 / 41	0 / 142	8.0	0.0	41.0	142.0	0.0006333567800833691
ROCK1	inf	5.217875975419863e-05	7 / 42	0 / 142	7.0	0.0	42.0	142.0	0.0017857018127761144
ZNF518A	inf	1.191036907432923e-05	8 / 41	0 / 142	8.0	0.0	41.0	142.0	0.0006333567800833691
CRTC1	inf	5.217875975419863e-05	7 / 42	0 / 142	7.0	0.0	42.0	142.0	0.0017857018127761144
TCF25	inf	0.0002244900128960173	6 / 43	0 / 142	6.0	0.0	43.0	142.0	0.00533298783213116
PPP1R26	inf	0.0009489805090603998	5 / 44	0 / 142	5.0	0.0	44.0	142.0	0.01467629140745983
DAB2IP	inf	5.217875975419863e-05	7 / 42	0 / 142	7.0	0.0	42.0	142.0	0.0017857018127761144
DLGAP3	inf	0.0002244900128960173	6 / 43	0 / 142	6.0	0.0	43.0	142.0	0.00533298783213116
NOP14	inf	5.217875975419863e-05	7 / 42	0 / 142	7.0	0.0	42.0	142.0	0.0017857018127761144
ADGRV1	inf	5.217875975419863e-05	7 / 42	0 / 142	7.0	0.0	42.0	142.0	0.0017857018127761144
SAFB2	inf	0.0009489805090603998	5 / 44	0 / 142	5.0	0.0	44.0	142.0	0.01467629140745983
RLF	inf	0.0002244900128960173	6 / 43	0 / 142	6.0	0.0	43.0	142.0	0.00533298783213116
SCLT1	inf	0.0009489805090603998	5 / 44	0 / 142	5.0	0.0	44.0	142.0	0.01467629140745983
BRCA2	inf	5.217875975419863e-05	7 / 42	0 / 142	7.0	0.0	42.0	142.0	0.0017857018127761144
RPE65	inf	5.217875975419863e-05	7 / 42	0 / 142	7.0	0.0	42.0	142.0	0.0017857018127761144
TRIP12	23.5	0.0003340574945133293	7 / 42	1 / 141	7.0	1.0	42.0	141.0	0.007828269354476764
SEC16A	inf	5.217875975419863e-05	7 / 42	0 / 142	7.0	0.0	42.0	142.0	0.0017857018127761144
MEDAG	inf	5.217875975419863e-05	7 / 42	0 / 142	7.0	0.0	42.0	142.0	0.0017857018127761144
PRSS56	inf	0.0002244900128960173	6 / 43	0 / 142	6.0	0.0	43.0	142.0	0.00533298783213116
XIRP2	inf	5.217875975419863e-05	7 / 42	0 / 142	7.0	0.0	42.0	142.0	0.0017857018127761144
STAT5B	inf	5.217875975419863e-05	7 / 42	0 / 142	7.0	0.0	42.0	142.0	0.0017857018127761144
DMTN	inf	5.217875975419863e-05	7 / 42	0 / 142	7.0	0.0	42.0	142.0	0.0017857018127761144
CELSR3	inf	5.217875975419863e-05	7 / 42	0 / 142	7.0	0.0	42.0	142.0	0.0017857018127761144
DCHS2	inf	5.217875975419863e-05	7 / 42	0 / 142	7.0	0.0	42.0	142.0	0.0017857018127761144
ZNF800	inf	5.217875975419863e-05	7 / 42	0 / 142	7.0	0.0	42.0	142.0	0.0017857018127761144
FRYL	inf	5.217875975419863e-05	7 / 42	0 / 142	7.0	0.0	42.0	142.0	0.0017857018127761144
CEP41	inf	5.217875975419863e-05	7 / 42	0 / 142	7.0	0.0	42.0	142.0	0.0017857018127761144
BRSK2	inf	5.217875975419863e-05	7 / 42	0 / 142	7.0	0.0	42.0	142.0	0.0017857018127761144
CSMD3	19.674418604651162	0.001258357531746604	6 / 43	1 / 141	6.0	1.0	43.0	141.0	0.01891092525427016
DNAH14	9.767441860465116	0.004031257643446967	6 / 43	2 / 140	6.0	2.0	43.0	140.0	0.036620347029104966
UBR7	inf	5.217875975419863e-05	7 / 42	0 / 142	7.0	0.0	42.0	142.0	0.0017857018127761144
SGO2	16.022727272727273	0.004571432989882543	5 / 44	1 / 141	5.0	1.0	44.0	141.0	0.04067222169762937
NRXN1	inf	5.217875975419863e-05	7 / 42	0 / 142	7.0	0.0	42.0	142.0	0.0017857018127761144
OGFOD1	inf	5.217875975419863e-05	7 / 42	0 / 142	7.0	0.0	42.0	142.0	0.0017857018127761144
AP1S1	inf	0.0002244900128960173	6 / 43	0 / 142	6.0	0.0	43.0	142.0	0.00533298783213116
WDTC1	inf	5.217875975419863e-05	7 / 42	0 / 142	7.0	0.0	42.0	142.0	0.0017857018127761144
ABCC5	inf	0.0002244900128960173	6 / 43	0 / 142	6.0	0.0	43.0	142.0	0.00533298783213116
MYO9A	inf	0.0002244900128960173	6 / 43	0 / 142	6.0	0.0	43.0	142.0	0.00533298783213116
KIF20B	23.5	0.0003340574945133293	7 / 42	1 / 141	7.0	1.0	42.0	141.0	0.007828269354476764
USP26	inf	5.217875975419863e-05	7 / 42	0 / 142	7.0	0.0	42.0	142.0	0.0017857018127761144
CACNA1H	inf	5.217875975419863e-05	7 / 42	0 / 142	7.0	0.0	42.0	142.0	0.0017857018127761144
BARHL2	inf	5.217875975419863e-05	7 / 42	0 / 142	7.0	0.0	42.0	142.0	0.0017857018127761144
TVP23A	inf	5.217875975419863e-05	7 / 42	0 / 142	7.0	0.0	42.0	142.0	0.0017857018127761144
FAM161A	inf	0.0002244900128960173	6 / 43	0 / 142	6.0	0.0	43.0	142.0	0.00533298783213116
COL5A1	23.5	0.0003340574945133293	7 / 42	1 / 141	7.0	1.0	42.0	141.0	0.007828269354476764
IRX5	inf	5.217875975419863e-05	7 / 42	0 / 142	7.0	0.0	42.0	142.0	0.0017857018127761144
WDR87	inf	0.0002244900128960173	6 / 43	0 / 142	6.0	0.0	43.0	142.0	0.00533298783213116
RNF217-AS1	inf	5.217875975419863e-05	7 / 42	0 / 142	7.0	0.0	42.0	142.0	0.0017857018127761144
KCNQ3	inf	0.0002244900128960173	6 / 43	0 / 142	6.0	0.0	43.0	142.0	0.00533298783213116
ZNF862	inf	5.217875975419863e-05	7 / 42	0 / 142	7.0	0.0	42.0	142.0	0.0017857018127761144
CKAP2	inf	5.217875975419863e-05	7 / 42	0 / 142	7.0	0.0	42.0	142.0	0.0017857018127761144
KIF26B	inf	5.217875975419863e-05	7 / 42	0 / 142	7.0	0.0	42.0	142.0	0.0017857018127761144
EML6	inf	5.217875975419863e-05	7 / 42	0 / 142	7.0	0.0	42.0	142.0	0.0017857018127761144
CENPC	inf	5.217875975419863e-05	7 / 42	0 / 142	7.0	0.0	42.0	142.0	0.0017857018127761144
DUSP1	inf	5.217875975419863e-05	7 / 42	0 / 142	7.0	0.0	42.0	142.0	0.0017857018127761144
ATXN2L	inf	0.0002244900128960173	6 / 43	0 / 142	6.0	0.0	43.0	142.0	0.00533298783213116
VCP	inf	5.217875975419863e-05	7 / 42	0 / 142	7.0	0.0	42.0	142.0	0.0017857018127761144
PTX4	inf	5.217875975419863e-05	7 / 42	0 / 142	7.0	0.0	42.0	142.0	0.0017857018127761144
CEBPZ	inf	5.217875975419863e-05	7 / 42	0 / 142	7.0	0.0	42.0	142.0	0.0017857018127761144
FANCM	inf	5.217875975419863e-05	7 / 42	0 / 142	7.0	0.0	42.0	142.0	0.0017857018127761144
B4GALNT4	inf	5.217875975419863e-05	7 / 42	0 / 142	7.0	0.0	42.0	142.0	0.0017857018127761144
ZNF540	11.666666666666666	0.0012027985131153023	7 / 42	2 / 140	7.0	2.0	42.0	140.0	0.018477658047035744
